geo_id,total_pop,median_age,male_pop,female_pop,white_pop,black_pop,hispanic_pop,asian_pop,graduate_professional_degree,less_than_high_school_graduate,median_income,poverty,unemployed_pop,civilian_labor_force,occupied_housing_units,owner_occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,median_rent,median_year_structure_built,gini_index
44003020602,3416.0,43.0,1559.0,1857.0,3141.0,3.0,155.0,78.0,203.0,273.0,,485.0,57.0,1991.0,1548.0,1216.0,332.0,61.0,955.0,1964.0,0.418
44003020603,6398.0,49.6,3058.0,3340.0,6018.0,1.0,305.0,42.0,625.0,365.0,,966.0,245.0,3589.0,2928.0,2221.0,707.0,62.0,850.0,1969.0,0.49
44003020604,5469.0,34.9,2467.0,3002.0,4885.0,109.0,269.0,93.0,137.0,292.0,,594.0,106.0,2883.0,2497.0,1354.0,1143.0,255.0,766.0,1961.0,0.4187
44003020701,1831.0,45.4,929.0,902.0,1738.0,18.0,4.0,47.0,71.0,148.0,,57.0,12.0,851.0,670.0,646.0,24.0,43.0,1047.0,1980.0,0.2975
44003020702,4648.0,49.9,2358.0,2290.0,4536.0,17.0,10.0,2.0,555.0,194.0,,399.0,53.0,2527.0,1746.0,1604.0,142.0,127.0,1246.0,1981.0,0.3647
44003020703,6983.0,44.3,3620.0,3363.0,6836.0,6.0,50.0,0.0,510.0,208.0,,120.0,159.0,3909.0,2423.0,2200.0,223.0,272.0,716.0,1975.0,0.3626
44003020800,6297.0,45.9,3057.0,3240.0,5496.0,191.0,154.0,145.0,763.0,367.0,,109.0,198.0,3674.0,2352.0,1986.0,366.0,121.0,1841.0,1991.0,0.3345
44003020901,3612.0,42.1,1675.0,1937.0,3191.0,15.0,138.0,171.0,667.0,54.0,,223.0,84.0,2275.0,1695.0,898.0,797.0,178.0,791.0,1944.0,0.485
44003020903,5886.0,43.9,2985.0,2901.0,4902.0,0.0,228.0,575.0,1383.0,201.0,,317.0,117.0,2965.0,2031.0,1852.0,179.0,221.0,1521.0,1988.0,0.4577
44003020904,3600.0,44.1,1690.0,1910.0,3028.0,104.0,159.0,165.0,768.0,61.0,,71.0,24.0,1776.0,1342.0,1174.0,168.0,62.0,1041.0,1968.0,0.3887
44003021002,4629.0,49.2,2380.0,2249.0,4084.0,42.0,271.0,104.0,501.0,200.0,,503.0,95.0,2657.0,2243.0,1724.0,519.0,13.0,927.0,1943.0,0.4303
44003021200,3327.0,41.2,1605.0,1722.0,2452.0,250.0,410.0,169.0,303.0,223.0,,111.0,71.0,2000.0,1477.0,1042.0,435.0,99.0,1105.0,1957.0,0.5156
44003021300,4361.0,50.8,2063.0,2298.0,4072.0,52.0,77.0,14.0,653.0,156.0,,319.0,132.0,2516.0,2050.0,1788.0,262.0,203.0,1106.0,1952.0,0.4608
44003021401,3840.0,42.8,1713.0,2127.0,3538.0,38.0,145.0,39.0,299.0,79.0,,183.0,154.0,2407.0,1449.0,1305.0,144.0,103.0,1166.0,1956.0,0.3454
44003021402,3858.0,37.4,2020.0,1838.0,3280.0,50.0,315.0,35.0,117.0,250.0,,198.0,228.0,2228.0,1422.0,983.0,439.0,60.0,925.0,1965.0,0.3264
44003021502,3998.0,45.6,1720.0,2278.0,3539.0,116.0,145.0,100.0,248.0,381.0,,405.0,110.0,2172.0,1603.0,1385.0,218.0,158.0,981.0,1952.0,0.3936
44003021600,1655.0,55.0,784.0,871.0,1403.0,25.0,158.0,29.0,368.0,36.0,,53.0,11.0,823.0,699.0,650.0,49.0,13.0,796.0,1964.0,0.5069
44003021700,4594.0,51.7,2257.0,2337.0,3769.0,5.0,542.0,99.0,221.0,471.0,,320.0,159.0,2595.0,1983.0,1518.0,465.0,146.0,1019.0,1954.0,0.3608
44003021800,3813.0,50.5,1865.0,1948.0,3205.0,158.0,334.0,20.0,181.0,497.0,,171.0,32.0,2032.0,1776.0,1035.0,741.0,60.0,939.0,1972.0,0.4376
44003021901,3309.0,39.5,1540.0,1769.0,2427.0,147.0,669.0,44.0,105.0,148.0,,175.0,50.0,1777.0,1317.0,1058.0,259.0,55.0,864.0,1957.0,0.3424
44003021902,3021.0,44.8,1587.0,1434.0,2476.0,143.0,217.0,62.0,117.0,240.0,,96.0,113.0,1801.0,1322.0,929.0,393.0,36.0,1157.0,1962.0,0.3254
44003021903,3805.0,48.5,1850.0,1955.0,3444.0,64.0,122.0,84.0,348.0,146.0,,165.0,76.0,2026.0,1555.0,1309.0,246.0,58.0,914.0,1958.0,0.4284
44003022000,3082.0,41.6,1463.0,1619.0,2667.0,28.0,107.0,217.0,436.0,133.0,,325.0,30.0,1725.0,1494.0,955.0,539.0,217.0,1246.0,1955.0,0.4734
44003022100,5436.0,40.8,2274.0,3162.0,4558.0,15.0,389.0,219.0,528.0,425.0,,294.0,12.0,2774.0,2126.0,1832.0,294.0,299.0,1076.0,1965.0,0.4025
44003022201,6891.0,43.4,3212.0,3679.0,6236.0,44.0,131.0,433.0,1358.0,97.0,,326.0,226.0,4025.0,2799.0,1950.0,849.0,45.0,1310.0,1972.0,0.4755
44003022400,2141.0,56.8,957.0,1184.0,2051.0,14.0,39.0,0.0,254.0,65.0,,34.0,35.0,1105.0,1070.0,878.0,192.0,41.0,1225.0,1961.0,0.4844
44005040101,4683.0,43.6,2357.0,2326.0,4336.0,10.0,286.0,32.0,544.0,157.0,,290.0,144.0,2836.0,1856.0,1599.0,257.0,344.0,1561.0,1968.0,0.3951
44005040102,5755.0,51.3,2643.0,3112.0,5554.0,0.0,84.0,70.0,929.0,145.0,,191.0,26.0,3060.0,2391.0,1859.0,532.0,250.0,1442.0,1976.0,0.4903
44005040302,3032.0,43.1,1365.0,1667.0,1908.0,309.0,639.0,80.0,237.0,141.0,,330.0,85.0,1730.0,1313.0,1056.0,257.0,25.0,1450.0,1954.0,0.3356
44005040700,3034.0,52.9,1514.0,1520.0,2749.0,20.0,100.0,51.0,763.0,73.0,,117.0,240.0,1701.0,1445.0,956.0,489.0,337.0,1326.0,0.0,0.4397
